country,years,students,gdp,expenditure
Canada,2005,43361,1164140000000,4.80000019073
Canada,2002,37631,752532000000,5.03999996185
Canada,2001,31868,732717000000,4.98999977112
Canada,2000,30864,739456000000,5.46000003815
Canada,1999,30353,674325000000,5.55000019073
Canada,1998,29698,631432000000,5.53000020981
Cape Verde,2013,4631,1837908563,5.03999996185
Cape Verde,2011,3079,1864824081,5.03999996185
Cape Verde,2010,3227,1664310770,5.57000017166
Cape Verde,2009,3309,1711817182,5.30999994278
Cape Verde,2008,3421,1789333749,5.51999998093
Cape Verde,2007,5399,1513933983,5.40999984741
Cape Verde,2006,4903,1107891063,6.53000020981
Cape Verde,2004,3978,924318506,7.48000001907
Cape Verde,2002,2963,620974807,7.88000011444
Cape Verde,1999,2066,592416703,6.80000019073
Cape Verde,1998,2062,521910561,6.38999986649
Central African Republic,2011,1022,2195599557,1.23000001907
Central African Republic,2010,1142,1986014846,1.20000004768
Central African Republic,2009,857,1981728141,1.29999995232
Central African Republic,2008,958,1985370058,1.28999996185
Central African Republic,2007,951,1698125618,1.30999994278
Central African Republic,2006,932,1460562038,1.39999997616
Central African Republic,2005,883,1350301057,1.63999998569
Central African Republic,2004,964,1270080251,1.62000000477
Central African Republic,2003,1664,1139754799,1.53999996185
Central African Republic,2002,1854,991387870,1.51999998093
Central African Republic,2000,1088,914500299,1.61000001431
Central African Republic,1999,559,999477511,1.69000005722
Chad,2013,3998,12949853281,2.84999990463
Chad,2011,3886,12156380062,2.25999999046
Chad,2010,3585,10657705072,1.98000001907
Chad,2009,3487,9253484290,2.30999994278
Chad,2005,2740,6646663021,1.69000005722
Chad,2004,2666,4414929220,1.59000003338
Chad,2001,2416,1709347793,2.43000006676
Chad,2000,2407,1385058162,2.65000009537
Chad,1999,2370,1534673583,3.23000001907
Chad,1998,2391,1744794457,1.64999997616
Chile,2013,8937,276674000000,4.55999994278
Chile,2012,8924,265232000000,4.57000017166
Chile,2011,9860,250832000000,4.07000017166
Chile,2010,9127,217538000000,4.17999982834
Chile,2009,8242,171957000000,4.23999977112
Chile,2008,7120,179627000000,3.78999996185
Chile,2007,6177,173081000000,3.22000002861
Chile,2006,6313,154671000000,3.01999998093
Chile,2005,7673,124404000000,3.23000001907
Chile,2004,5631,100631000000,3.49000000954
Chile,2003,6807,77840186385,3.84999990463
Chile,2002,5883,70984568429,4.01000022888
Chile,2000,5070,79328640264,3.71000003815
Chile,1999,4696,72995286764,3.83999991417
Chile,1998,4582,79373597080,3.43000006676
China,1999,123076,1089450000000,1.89999997616
China,1998,119863,1025280000000,1.85000002384
Colombia,2013,25509,380063000000,4.90000009537
